meter_id,household_id,timestamp,units_consumed
M030,H030,2026-04-23 15:00:00,0.152
M028,H028,2026-04-02 18:00:00,0.74
M027,H027,2026-04-20 02:00:00,0.092
M003,H003,2026-04-11 15:00:00,0.251
M016,H016,2026-04-01 07:00:00,0.072
M008,H008,2026-04-28 20:00:00,0.319
M015,H015,2026-04-15 17:00:00,0.644
M024,H024,2026-04-25 03:00:00,0.176
M016,H016,2026-04-26 17:00:00,0.069
M002,H002,2026-04-14 22:00:00,0.532
M028,H028,2026-04-24 06:00:00,0.465
M011,H011,2026-04-10 17:00:00,0.618
M013,H013,2026-04-04 12:00:00,0.192
M034,H034,2026-04-30 06:00:00,0.525
M023,H023,2026-04-05 05:00:00,0.452
M006,H006,2026-04-02 04:00:00,0.167
M011,H011,2026-04-29 19:00:00,0.935
M013,H013,2026-04-22 01:00:00,0.067
M034,H034,2026-04-07 12:00:00,0.508
M029,H029,2026-04-19 10:00:00,0.347
M026,H026,2026-04-04 06:00:00,0.901
M010,H010,2026-04-12 08:00:00,0.451
M040,H040,2026-04-25 18:00:00,0.287
M011,H011,2026-04-02 03:00:00,0.151
M035,H035,2026-04-10 07:00:00,0.696
M006,H006,2026-04-07 23:00:00,0.307
M013,H013,2026-04-22 23:00:00,0.119
M024,H024,2026-04-05 00:00:00,0.258
M016,H016,2026-04-08 08:00:00,0.076
M033,H033,2026-04-26 17:00:00,0.35
M010,H010,2026-04-25 03:00:00,0.125
M026,H026,2026-04-19 08:00:00,0.736
M037,H037,2026-04-16 11:00:00,0.079
M035,H035,2026-04-16 09:00:00,0.545
M012,H012,2026-04-21 11:00:00,0.226
M033,H033,2026-04-30 20:00:00,0.56
M020,H020,2026-04-02 23:00:00,0.233
M032,H032,2026-04-24 08:00:00,0.301
M021,H021,2026-04-01 00:00:00,0.147
M030,H030,2026-04-07 00:00:00,0.087
M033,H033,2026-04-07 12:00:00,2.345
M028,H028,2026-04-12 10:00:00,0.407
M009,H009,2026-04-06 13:00:00,0.628
M026,H026,2026-04-18 02:00:00,0.214
M009,H009,2026-04-24 03:00:00,0.226
M014,H014,2026-04-12 20:00:00,1.572
M015,H015,2026-04-03 14:00:00,0.448
M034,H034,2026-04-27 06:00:00,0.42
M010,H010,2026-04-18 10:00:00,0.273
M008,H008,2026-04-24 04:00:00,0.051
M011,H011,2026-04-15 22:00:00,0.601
M020,H020,2026-04-11 14:00:00,0.259
M001,H001,2026-04-24 16:00:00,0.293
M039,H039,2026-04-14 18:00:00,0.929
M028,H028,2026-04-25 19:00:00,0.998
M023,H023,2026-04-13 12:00:00,0.508
M016,H016,2026-04-24 00:00:00,0.022
M007,H007,2026-04-03 03:00:00,0.054
M013,H013,2026-04-13 16:00:00,0.134
M012,H012,2026-04-09 10:00:00,0.195
M023,H023,2026-04-25 22:00:00,0.843
M006,H006,2026-04-25 09:00:00,0.421
M037,H037,2026-04-05 07:00:00,0.16
M003,H003,2026-04-16 21:00:00,0.592
M014,H014,2026-04-17 07:00:00,0.887
M008,H008,2026-04-04 07:00:00,0.233
M034,H034,2026-04-27 20:00:00,1.036
M032,H032,2026-04-29 20:00:00,0.796
M019,H019,2026-04-17 04:00:00,
M039,H039,2026-04-05 14:00:00,0.504
M025,H025,2026-04-18 21:00:00,1.217
M032,H032,2026-04-18 07:00:00,0.514
M006,H006,2026-04-17 04:00:00,0.167
M011,H011,2026-04-28 21:00:00,0.914
M035,H035,2026-04-28 17:00:00,0.665
M037,H037,2026-04-02 10:00:00,0.087
M022,H022,2026-04-14 01:00:00,0.141
M018,H018,2026-04-30 01:00:00,0.223
M006,H006,2026-04-23 03:00:00,0.106
M015,H015,2026-04-03 01:00:00,0.255
M030,H030,2026-04-17 17:00:00,0.243
M023,H023,2026-04-23 10:00:00,0.394
M024,H024,2026-04-21 03:00:00,0.133
M007,H007,2026-04-15 14:00:00,0.101
M023,H023,2026-04-14 23:00:00,0.456
M004,H004,2026-04-05 12:00:00,0.201
M020,H020,2026-04-18 20:00:00,0.759
M015,H015,2026-04-05 05:00:00,0.398
M016,H016,2026-04-11 01:00:00,0.025
M021,H021,2026-04-13 17:00:00,0.27
M029,H029,2026-04-29 17:00:00,0.378
M010,H010,2026-04-29 22:00:00,0.578
M007,H007,2026-04-19 07:00:00,0.282
M022,H022,2026-04-21 03:00:00,0.124
M033,H033,2026-04-06 16:00:00,0.245
M018,H018,2026-04-22 21:00:00,1.126
M019,H019,2026-04-14 15:00:00,0.395
M036,H036,2026-04-01 05:00:00,0.117
M019,H019,2026-04-19 20:00:00,0.95
M037,H037,2026-04-10 02:00:00,0.037
M035,H035,2026-04-17 16:00:00,0.526
M029,H029,2026-04-20 00:00:00,0.151
M002,H002,2026-04-03 11:00:00,0.299
M018,H018,2026-04-19 13:00:00,0.466
M004,H004,2026-04-04 06:00:00,0.269
M033,H033,2026-04-14 00:00:00,0.126
M023,H023,2026-04-15 10:00:00,0.345
M025,H025,2026-04-05 18:00:00,1.095
M038,H038,2026-04-27 21:00:00,0.902
M017,H017,2026-04-25 08:00:00,0.231
M016,H016,2026-04-20 12:00:00,0.036
M033,H033,2026-04-15 13:00:00,0.23
M018,H018,2026-04-12 22:00:00,0.838
M020,H020,2026-04-09 23:00:00,0.194
M004,H004,2026-04-06 02:00:00,0.085
M028,H028,2026-04-12 00:00:00,0.251
M016,H016,2026-04-23 16:00:00,0.052
M039,H039,2026-04-12 00:00:00,0.273
M014,H014,2026-04-06 16:00:00,0.485
M007,H007,2026-04-23 12:00:00,0.141
M017,H017,2026-04-05 03:00:00,0.058
M016,H016,2026-04-27 05:00:00,0.036
M008,H008,2026-04-25 09:00:00,0.165
M011,H011,2026-04-23 22:00:00,0.585
M030,H030,2026-04-17 23:00:00,0.105
M026,H026,2026-04-07 08:00:00,0.766
M026,H026,2026-04-11 17:00:00,0.787
M040,H040,2026-04-29 09:00:00,0.127
M006,H006,2026-04-17 23:00:00,0.308
M040,H040,2026-04-26 04:00:00,0.05
M025,H025,2026-04-02 05:00:00,0.367
M029,H029,2026-04-06 04:00:00,0.121
M013,H013,2026-04-09 13:00:00,0.17
M024,H024,2026-04-18 15:00:00,0.524
M002,H002,2026-04-30 04:00:00,0.172
M010,H010,2026-04-27 13:00:00,0.28
M030,H030,2026-04-01 23:00:00,0.142
M011,H011,2026-04-11 16:00:00,0.575
M022,H022,2026-04-12 22:00:00,0.484
M040,H040,2026-04-23 09:00:00,0.12
M033,H033,2026-04-04 04:00:00,0.092
M029,H029,2026-04-22 03:00:00,0.117
M031,H031,2026-04-26 13:00:00,0.387
M021,H021,2026-04-01 02:00:00,0.071
M037,H037,2026-04-17 17:00:00,0.143
M010,H010,2026-04-02 20:00:00,0.833
M009,H009,2026-04-26 06:00:00,0.889
M034,H034,2026-04-14 23:00:00,0.394
M031,H031,2026-04-17 02:00:00,0.079
M029,H029,2026-04-08 14:00:00,0.282
M027,H027,2026-04-25 09:00:00,0.29
M039,H039,2026-04-22 04:00:00,0.261
M012,H012,2026-04-18 15:00:00,0.223
M021,H021,2026-04-11 06:00:00,0.325
M039,H039,2026-04-18 22:00:00,0.825
M018,H018,2026-04-14 00:00:00,0.266
M028,H028,2026-04-09 01:00:00,0.161
M039,H039,2026-04-16 11:00:00,0.404
M020,H020,2026-04-11 00:00:00,0.142
M004,H004,2026-04-01 08:00:00,0.273
M022,H022,2026-04-21 10:00:00,0.237
M023,H023,2026-04-16 20:00:00,1.111
M019,H019,2026-04-18 12:00:00,0.5
M031,H031,2026-04-12 09:00:00,0.35
M001,H001,2026-04-26 14:00:00,0.238
M024,H024,2026-04-19 21:00:00,1.225
M004,H004,2026-04-04 10:00:00,0.18
M002,H002,2026-04-07 07:00:00,0.56
M016,H016,2026-04-02 00:00:00,0.027
M008,H008,2026-04-05 15:00:00,0.119
M022,H022,2026-04-24 06:00:00,0.356
M039,H039,2026-04-07 05:00:00,0.341
M024,H024,2026-04-27 08:00:00,0.565
M036,H036,2026-04-01 16:00:00,0.2
M013,H013,2026-04-29 01:00:00,0.061
M008,H008,2026-04-29 03:00:00,0.04
M023,H023,2026-04-11 15:00:00,0.38
M032,H032,2026-04-30 01:00:00,0.139
M001,H001,2026-04-14 06:00:00,0.359
M008,H008,2026-04-23 19:00:00,0.319
M038,H038,2026-04-28 08:00:00,0.505
M040,H040,2026-04-06 17:00:00,0.144
M037,H037,2026-04-22 17:00:00,0.114
M004,H004,2026-04-18 09:00:00,0.229
M038,H038,2026-04-30 09:00:00,0.319
M033,H033,2026-04-13 06:00:00,0.277
M012,H012,2026-04-27 18:00:00,0.434
M039,H039,2026-04-18 04:00:00,0.227
M033,H033,2026-04-24 11:00:00,
M039,H039,2026-04-03 18:00:00,0.858
M020,H020,2026-04-14 16:00:00,0.29
M014,H014,2026-04-03 11:00:00,0.44
M006,H006,2026-04-14 01:00:00,0.123
M034,H034,2026-04-13 13:00:00,0.371
M003,H003,2026-04-03 11:00:00,0.179
M004,H004,2026-04-04 02:00:00,0.077
M035,H035,2026-04-26 00:00:00,0.312
M021,H021,2026-04-07 14:00:00,0.201
M033,H033,2026-04-28 20:00:00,0.61
M031,H031,2026-04-24 22:00:00,0.562
M032,H032,2026-04-20 13:00:00,0.322
M024,H024,2026-04-22 23:00:00,0.428
M010,H010,2026-04-06 23:00:00,0.284
M035,H035,2026-04-14 16:00:00,0.491
M034,H034,2026-04-20 15:00:00,0.303
M035,H035,2026-04-24 06:00:00,0.58
M039,H039,2026-04-08 22:00:00,0.972
M022,H022,2026-04-10 13:00:00,0.426
M040,H040,2026-04-01 15:00:00,0.123
M018,H018,2026-04-01 12:00:00,0.549
M019,H019,2026-04-18 03:00:00,0.192
M038,H038,2026-04-19 22:00:00,0.626
M008,H008,2026-04-20 21:00:00,0.317
M002,H002,2026-04-27 08:00:00,0.479
M009,H009,2026-04-10 02:00:00,0.171
M031,H031,2026-04-15 23:00:00,0.285
M034,H034,2026-04-07 13:00:00,0.413
M015,H015,2026-04-14 14:00:00,
M017,H017,2026-04-01 03:00:00,0.045
M030,H030,2026-04-08 09:00:00,0.173
M025,H025,2026-04-02 17:00:00,0.546
M018,H018,2026-04-12 06:00:00,0.809
M027,H027,2026-04-12 02:00:00,0.094
M029,H029,2026-04-14 19:00:00,0.739
M011,H011,2026-04-25 23:00:00,0.365
M008,H008,2026-04-23 04:00:00,0.042
M013,H013,2026-04-01 03:00:00,0.039
M033,H033,2026-04-13 01:00:00,0.104
M009,H009,2026-04-28 01:00:00,0.211
M018,H018,2026-04-14 20:00:00,1.289
M031,H031,2026-04-27 06:00:00,0.4
M002,H002,2026-04-06 04:00:00,0.18
M010,H010,2026-04-12 16:00:00,-0.413
M002,H002,2026-04-12 08:00:00,0.792
M026,H026,2026-04-27 10:00:00,0.515
M004,H004,2026-04-26 23:00:00,0.243
M007,H007,2026-04-22 07:00:00,0.201
M032,H032,2026-04-26 22:00:00,0.438
M037,H037,2026-04-11 07:00:00,0.138
M018,H018,2026-04-23 11:00:00,0.472
M004,H004,2026-04-03 20:00:00,0.71
M027,H027,2026-04-12 13:00:00,0.376
M011,H011,2026-04-08 05:00:00,0.254
M032,H032,2026-04-20 04:00:00,0.12
M039,H039,2026-04-18 17:00:00,0.59
M008,H008,2026-04-25 08:00:00,0.181
M020,H020,2026-04-25 04:00:00,0.13
M021,H021,2026-04-12 02:00:00,0.076
M033,H033,2026-04-14 12:00:00,0.238
M027,H027,2026-04-24 11:00:00,
M004,H004,2026-04-23 02:00:00,0.063
M031,H031,2026-04-06 09:00:00,0.248
M025,H025,2026-04-27 01:00:00,0.229
M008,H008,2026-04-14 22:00:00,0.189
M025,H025,2026-04-02 16:00:00,0.516
M002,H002,2026-04-27 07:00:00,0.681
M025,H025,2026-04-19 05:00:00,0.374
M038,H038,2026-04-14 17:00:00,0.407
M034,H034,2026-04-17 00:00:00,0.233
M016,H016,2026-04-18 20:00:00,0.152
M020,H020,2026-04-17 08:00:00,0.341
M002,H002,2026-04-27 13:00:00,0.399
M020,H020,2026-04-22 11:00:00,0.252
M003,H003,2026-04-20 22:00:00,0.361
M019,H019,2026-04-03 20:00:00,1.01
M028,H028,2026-04-10 14:00:00,0.322
M011,H011,2026-04-06 02:00:00,0.167
M033,H033,2026-04-17 15:00:00,0.183
M021,H021,2026-04-28 23:00:00,0.174
M008,H008,2026-04-02 07:00:00,0.186
M017,H017,2026-04-10 16:00:00,0.153
M011,H011,2026-04-22 18:00:00,0.831
M007,H007,2026-04-30 01:00:00,0.068
M035,H035,2026-04-12 22:00:00,0.858
M031,H031,2026-04-18 03:00:00,0.089
M018,H018,2026-04-05 15:00:00,0.464
M030,H030,2026-04-16 22:00:00,0.239
M022,H022,2026-04-16 08:00:00,0.51
M012,H012,2026-04-07 09:00:00,0.256
M037,H037,2026-04-18 15:00:00,0.076
M018,H018,2026-04-23 17:00:00,0.553
M023,H023,2026-04-23 20:00:00,0.942
M035,H035,2026-04-19 10:00:00,0.534
M029,H029,2026-04-03 05:00:00,0.198
M020,H020,2026-04-03 03:00:00,0.075
M021,H021,2026-04-27 17:00:00,0.279
M039,H039,2026-04-09 20:00:00,1.244
M032,H032,2026-04-16 23:00:00,0.289
M032,H032,2026-04-13 22:00:00,0.431
M008,H008,2026-04-29 12:00:00,0.127
M015,H015,2026-04-08 06:00:00,0.655
M032,H032,2026-04-19 15:00:00,0.213
M039,H039,2026-04-30 03:00:00,0.156
M005,H005,2026-04-24 22:00:00,0.264
M003,H003,2026-04-30 05:00:00,0.16
M008,H008,2026-04-09 18:00:00,0.226
M021,H021,2026-04-20 14:00:00,0.161
M035,H035,2026-04-02 16:00:00,0.537
M007,H007,2026-04-04 17:00:00,0.214
M025,H025,2026-04-04 12:00:00,0.625
M008,H008,2026-04-24 19:00:00,0.267
M012,H012,2026-04-08 02:00:00,0.095
M036,H036,2026-04-20 00:00:00,0.08
M015,H015,2026-04-02 09:00:00,0.479
M037,H037,2026-04-27 22:00:00,0.172
M013,H013,2026-04-06 22:00:00,0.229
M029,H029,2026-04-22 06:00:00,0.367
M027,H027,2026-04-19 08:00:00,0.406
M038,H038,2026-04-17 14:00:00,0.321
M011,H011,2026-04-23 12:00:00,0.394
M034,H034,2026-04-22 15:00:00,0.331
M014,H014,2026-04-27 13:00:00,0.505
M012,H012,2026-04-13 15:00:00,0.253
M037,H037,2026-04-12 07:00:00,0.199
M013,H013,2026-04-20 02:00:00,0.047
M008,H008,2026-04-23 22:00:00,0.189
M022,H022,2026-04-10 12:00:00,0.28
M011,H011,2026-04-25 07:00:00,0.712
M038,H038,2026-04-10 06:00:00,0.4
M031,H031,2026-04-20 22:00:00,0.438
M013,H013,2026-04-11 20:00:00,0.54
M002,H002,2026-04-11 07:00:00,0.668
M024,H024,2026-04-01 05:00:00,0.293
M025,H025,2026-04-05 19:00:00,1.419
M031,H031,2026-04-25 17:00:00,0.407
M019,H019,2026-04-24 00:00:00,0.199
M032,H032,2026-04-30 23:00:00,0.238
M005,H005,2026-04-22 10:00:00,0.134
M023,H023,2026-04-29 07:00:00,0.907
M040,H040,2026-04-19 10:00:00,0.095
M014,H014,2026-04-27 04:00:00,0.226
M015,H015,2026-04-28 09:00:00,0.433
M037,H037,2026-04-07 02:00:00,0.039
M032,H032,2026-04-21 14:00:00,0.23
M001,H001,2026-04-11 08:00:00,0.569
M018,H018,2026-04-20 04:00:00,0.234
M021,H021,2026-04-03 04:00:00,0.106
M033,H033,2026-04-26 16:00:00,0.26
M009,H009,2026-04-17 14:00:00,0.401
M037,H037,2026-04-18 13:00:00,0.13
M001,H001,2026-04-19 16:00:00,0.359
M033,H033,2026-04-02 03:00:00,0.067
M036,H036,2026-04-13 00:00:00,0.096
M036,H036,2026-04-20 07:00:00,0.303
M011,H011,2026-04-27 07:00:00,0.8
M032,H032,2026-04-28 03:00:00,0.115
M026,H026,2026-04-30 17:00:00,0.716
M029,H029,2026-04-14 06:00:00,0.396
M013,H013,2026-04-10 18:00:00,0.271
M024,H024,2026-04-29 14:00:00,0.368
M010,H010,2026-04-20 01:00:00,0.127
M024,H024,2026-04-03 14:00:00,0.445
M013,H013,2026-04-26 12:00:00,0.186
M031,H031,2026-04-13 17:00:00,0.422
M018,H018,2026-04-03 22:00:00,0.86
M005,H005,2026-04-17 09:00:00,0.143
M013,H013,2026-04-02 06:00:00,0.191
M035,H035,2026-04-29 03:00:00,0.216
M007,H007,2026-04-17 21:00:00,
M011,H011,2026-04-27 16:00:00,0.426
M021,H021,2026-04-19 22:00:00,0.431
M015,H015,2026-04-19 08:00:00,0.82
M030,H030,2026-04-22 15:00:00,0.152
M012,H012,2026-04-07 02:00:00,0.088
M001,H001,2026-04-09 14:00:00,0.206
M030,H030,2026-04-24 18:00:00,0.285
M002,H002,2026-04-18 05:00:00,0.38
M004,H004,2026-04-08 16:00:00,0.247
M030,H030,2026-04-19 00:00:00,0.11
M019,H019,2026-04-07 04:00:00,0.138
M036,H036,2026-04-21 03:00:00,0.056
M015,H015,2026-04-30 18:00:00,1.178
M037,H037,2026-04-15 07:00:00,0.131
M015,H015,2026-04-25 13:00:00,0.684
M025,H025,2026-04-09 05:00:00,0.419
M019,H019,2026-04-12 03:00:00,0.183
M032,H032,2026-04-01 11:00:00,0.276
M013,H013,2026-04-14 15:00:00,0.121
M014,H014,2026-04-18 19:00:00,1.373
M014,H014,2026-04-11 06:00:00,0.76
M038,H038,2026-04-09 09:00:00,0.411
M021,H021,2026-04-24 11:00:00,0.187
M039,H039,2026-04-06 21:00:00,1.519
M006,H006,2026-04-13 18:00:00,0.519
M033,H033,2026-04-28 11:00:00,0.158
M017,H017,2026-04-09 09:00:00,0.143
M022,H022,2026-04-19 05:00:00,0.257
M018,H018,2026-04-11 03:00:00,0.199
M015,H015,2026-04-22 17:00:00,0.605
M040,H040,2026-04-01 11:00:00,0.11
M020,H020,2026-04-25 22:00:00,0.393
M028,H028,2026-04-27 05:00:00,0.206
M037,H037,2026-04-03 15:00:00,0.087
M006,H006,2026-04-27 16:00:00,0.351
M039,H039,2026-04-09 23:00:00,0.386
M004,H004,2026-04-05 11:00:00,0.21
M008,H008,2026-04-19 04:00:00,0.054
M002,H002,2026-04-19 13:00:00,0.438
M014,H014,2026-04-08 01:00:00,0.174
M034,H034,2026-04-11 14:00:00,0.38
M007,H007,2026-04-12 13:00:00,0.209
M009,H009,2026-04-09 04:00:00,0.204
M021,H021,2026-04-12 11:00:00,0.191
M037,H037,2026-04-29 11:00:00,0.085
M036,H036,2026-04-06 07:00:00,0.251
M036,H036,2026-04-30 06:00:00,0.161
M033,H033,2026-04-12 10:00:00,0.274
M030,H030,2026-04-19 09:00:00,0.239
M032,H032,2026-04-12 00:00:00,0.174
M040,H040,2026-04-25 10:00:00,0.11
M011,H011,2026-04-07 22:00:00,0.604
M033,H033,2026-04-18 10:00:00,0.213
M001,H001,2026-04-01 23:00:00,0.225
M012,H012,2026-04-24 08:00:00,0.324
M032,H032,2026-04-02 04:00:00,0.113
M001,H001,2026-04-22 15:00:00,0.274
M006,H006,2026-04-02 16:00:00,0.285
M020,H020,2026-04-24 07:00:00,0.381
M031,H031,2026-04-11 16:00:00,0.282
M035,H035,2026-04-04 12:00:00,0.611
M028,H028,2026-04-29 15:00:00,0.395
M009,H009,2026-04-04 10:00:00,0.526
M018,H018,2026-04-18 23:00:00,0.629
M038,H038,2026-04-12 01:00:00,0.189
M007,H007,2026-04-23 07:00:00,0.301
M020,H020,2026-04-06 04:00:00,0.124
M009,H009,2026-04-09 15:00:00,0.454
M024,H024,2026-04-30 16:00:00,0.491
M036,H036,2026-04-07 06:00:00,0.191
M028,H028,2026-04-29 13:00:00,0.396
M016,H016,2026-04-24 20:00:00,0.105
M002,H002,2026-04-09 06:00:00,0.577
M022,H022,2026-04-27 19:00:00,0.826
M020,H020,2026-04-14 17:00:00,0.348
M018,H018,2026-04-24 16:00:00,0.55
M031,H031,2026-04-21 17:00:00,0.455
M019,H019,2026-04-18 02:00:00,0.146
M029,H029,2026-04-24 17:00:00,0.3
M029,H029,2026-04-24 21:00:00,0.603
M004,H004,2026-04-23 11:00:00,0.168
M009,H009,2026-04-24 19:00:00,1.309
M039,H039,2026-04-06 19:00:00,1.254
M023,H023,2026-04-28 06:00:00,0.567
M007,H007,2026-04-06 03:00:00,0.051
M007,H007,2026-04-02 16:00:00,0.182
M002,H002,2026-04-03 18:00:00,0.783
M009,H009,2026-04-24 16:00:00,0.617
M027,H027,2026-04-23 23:00:00,0.227
M015,H015,2026-04-26 18:00:00,1.207
M006,H006,2026-04-05 15:00:00,0.362
M035,H035,2026-04-25 03:00:00,0.218
M019,H019,2026-04-27 14:00:00,0.407
M002,H002,2026-04-13 06:00:00,0.434
M023,H023,2026-04-28 02:00:00,0.219
M031,H031,2026-04-22 09:00:00,0.247
M038,H038,2026-04-09 14:00:00,0.297
M040,H040,2026-04-20 05:00:00,0.089
M039,H039,2026-04-29 03:00:00,0.174
M028,H028,2026-04-29 21:00:00,0.853
M035,H035,2026-04-03 01:00:00,0.233
M027,H027,2026-04-27 16:00:00,0.3
M014,H014,2026-04-16 22:00:00,0.642
M007,H007,2026-04-13 17:00:00,0.244
M029,H029,2026-04-16 07:00:00,0.461
M015,H015,2026-04-11 17:00:00,0.845
M002,H002,2026-04-23 05:00:00,0.294
M027,H027,2026-04-10 05:00:00,0.148
M004,H004,2026-04-21 07:00:00,0.317
M038,H038,2026-04-19 13:00:00,0.453
M028,H028,2026-04-30 06:00:00,0.422
M032,H032,2026-04-28 15:00:00,0.254
M010,H010,2026-04-23 04:00:00,0.129
M036,H036,2026-04-19 07:00:00,0.334
M040,H040,2026-04-29 21:00:00,0.253
M008,H008,2026-04-13 17:00:00,0.153
M039,H039,2026-04-17 14:00:00,0.499
M014,H014,2026-04-24 21:00:00,1.144
M026,H026,2026-04-05 22:00:00,0.998
M004,H004,2026-04-04 04:00:00,0.107
M031,H031,2026-04-19 22:00:00,0.498
M031,H031,2026-04-29 06:00:00,0.323
M002,H002,2026-04-17 08:00:00,0.488
M008,H008,2026-04-30 00:00:00,0.066
M036,H036,2026-04-28 14:00:00,0.133
M007,H007,2026-04-14 08:00:00,0.276
M001,H001,2026-04-01 09:00:00,0.247
M011,H011,2026-04-24 18:00:00,0.894
M037,H037,2026-04-13 19:00:00,0.324
M036,H036,2026-04-10 21:00:00,0.418
M039,H039,2026-04-14 17:00:00,0.65
M030,H030,2026-04-04 17:00:00,0.272
M024,H024,2026-04-27 11:00:00,0.458
M024,H024,2026-04-03 00:00:00,0.25
M036,H036,2026-04-07 05:00:00,0.105
M017,H017,2026-04-22 02:00:00,0.048
M023,H023,2026-04-20 06:00:00,0.502
M025,H025,2026-04-06 21:00:00,1.156
M025,H025,2026-04-26 13:00:00,0.521
M003,H003,2026-04-11 14:00:00,0.204
M030,H030,2026-04-09 11:00:00,0.158
M035,H035,2026-04-25 02:00:00,0.182
M020,H020,2026-04-19 11:00:00,0.257
M009,H009,2026-04-11 17:00:00,0.69
M029,H029,2026-04-25 20:00:00,0.892
M023,H023,2026-04-04 02:00:00,0.195
M037,H037,2026-04-07 18:00:00,0.2
M021,H021,2026-04-09 08:00:00,0.333
M030,H030,2026-04-14 11:00:00,0.14
M011,H011,2026-04-18 13:00:00,0.473
M007,H007,2026-04-05 21:00:00,0.479
M013,H013,2026-04-05 23:00:00,0.132
M012,H012,2026-04-30 06:00:00,0.285
M032,H032,2026-04-22 08:00:00,0.383
M021,H021,2026-04-20 03:00:00,0.082
M034,H034,2026-04-06 19:00:00,0.806
M032,H032,2026-04-14 20:00:00,0.624
M012,H012,2026-04-01 06:00:00,0.292
M022,H022,2026-04-09 15:00:00,0.305
M021,H021,2026-04-11 02:00:00,0.082
M035,H035,2026-04-25 21:00:00,1.216
M003,H003,2026-04-02 07:00:00,0.426
M025,H025,2026-04-10 05:00:00,0.419
M010,H010,2026-04-02 23:00:00,0.283
M007,H007,2026-04-14 15:00:00,0.132
M010,H010,2026-04-02 22:00:00,0.541
M032,H032,2026-04-14 12:00:00,0.276
M037,H037,2026-04-07 22:00:00,0.16
M039,H039,2026-04-08 01:00:00,0.187
M024,H024,2026-04-18 09:00:00,0.516
M014,H014,2026-04-02 12:00:00,0.654
