meter_id,hour_start,avg_kwh,min_kwh,max_kwh,sum_kwh
M015,2026-04-28 21:30:00,0.756,0.756,0.756,0.756
M015,2026-04-14 23:30:00,0.208,0.208,0.208,0.208
M015,2026-04-22 01:30:00,0.157,0.157,0.157,0.157
M015,2026-04-22 02:30:00,0.154,0.154,0.154,0.154
M015,2026-04-01 05:30:00,0.714,0.714,0.714,0.714
M015,2026-04-08 09:30:00,0.48,0.48,0.48,0.48
M015,2026-04-08 11:30:00,0.437,0.437,0.437,0.437
M015,2026-04-01 15:30:00,0.592,0.592,0.592,0.592
M015,2026-04-08 16:30:00,0.677,0.677,0.677,0.677
M015,2026-04-15 16:30:00,0.644,0.644,0.644,0.644
M015,2026-04-01 18:30:00,1.142,1.142,1.142,1.142
M015,2026-04-29 19:30:00,1.548,1.548,1.548,1.548
M015,2026-04-15 20:30:00,1.051,1.051,1.051,1.051
M015,2026-04-22 20:30:00,1.255,1.255,1.255,1.255
M015,2026-04-08 21:30:00,0.74,0.74,0.74,0.74
M015,2026-04-15 21:30:00,0.697,0.697,0.697,0.697
M015,2026-04-16 01:30:00,0.139,0.139,0.139,0.139
M015,2026-04-30 06:30:00,0.633,0.633,0.633,0.633
M015,2026-04-30 07:30:00,0.786,0.786,0.786,0.786
M015,2026-04-30 09:30:00,0.416,0.416,0.416,0.416
M015,2026-04-16 11:30:00,0.542,0.542,0.542,0.542
M015,2026-04-02 12:30:00,0.494,0.494,0.494,0.494
M015,2026-04-30 13:30:00,0.478,0.478,0.478,0.478
M015,2026-04-16 18:30:00,1.421,1.421,1.421,1.421
M015,2026-04-09 20:30:00,1.102,1.102,1.102,1.102
M015,2026-04-23 20:30:00,1.281,1.281,1.281,1.281
M015,2026-04-24 02:30:00,0.159,0.159,0.159,0.159
M015,2026-04-03 03:30:00,0.24,0.24,0.24,0.24
M015,2026-04-17 04:30:00,0.339,0.339,0.339,0.339
M015,2026-04-24 07:30:00,0.721,0.721,0.721,0.721
M015,2026-04-24 12:30:00,0.612,0.612,0.612,0.612
M015,2026-04-03 14:30:00,0.414,0.414,0.414,0.414
M015,2026-04-10 14:30:00,0.403,0.403,0.403,0.403
M015,2026-04-17 14:30:00,0.488,0.488,0.488,0.488
M015,2026-04-10 18:30:00,1.101,1.101,1.101,1.101
M015,2026-04-10 21:30:00,0.851,0.851,0.851,0.851
M015,2026-04-18 00:30:00,0.239,0.239,0.239,0.239
M015,2026-04-11 04:30:00,0.345,0.345,0.345,0.345
M015,2026-04-18 06:30:00,0.754,0.754,0.754,0.754
M015,2026-04-25 06:30:00,0.64,0.64,0.64,0.64
M015,2026-04-18 09:30:00,0.631,0.631,0.631,0.631
M015,2026-04-25 12:30:00,0.684,0.684,0.684,0.684
M015,2026-04-25 13:30:00,0.462,0.462,0.462,0.462
M015,2026-04-18 14:30:00,0.486,0.486,0.486,0.486
M015,2026-04-18 17:30:00,1.132,1.132,1.132,1.132
M015,2026-04-11 20:30:00,1.233,1.233,1.233,1.233
M015,2026-04-18 20:30:00,1.436,1.436,1.436,1.436
M015,2026-04-25 20:30:00,1.377,1.377,1.377,1.377
M015,2026-04-25 22:30:00,0.499,0.499,0.499,0.499
M023,2026-04-04 23:30:00,0.349,0.349,0.349,0.349
M023,2026-04-11 23:30:00,0.304,0.304,0.304,0.304
M023,2026-04-12 00:30:00,0.3,0.3,0.3,0.3
M023,2026-04-26 01:30:00,0.2,0.2,0.2,0.2
M023,2026-04-05 03:30:00,0.264,0.264,0.264,0.264
M023,2026-04-05 07:30:00,0.779,0.779,0.779,0.779
M023,2026-04-26 07:30:00,0.882,0.882,0.882,0.882
M023,2026-04-19 08:30:00,0.602,0.602,0.602,0.602
M023,2026-04-26 09:30:00,0.526,0.526,0.526,0.526
M023,2026-04-05 12:30:00,0.669,0.669,0.669,0.669
M023,2026-04-19 13:30:00,0.555,0.555,0.555,0.555
M023,2026-04-26 13:30:00,0.48,0.48,0.48,0.48
M023,2026-04-05 16:30:00,0.736,0.736,0.736,0.736
M023,2026-04-12 22:30:00,0.578,0.578,0.578,0.578
M023,2026-04-05 23:30:00,0.261,0.261,0.261,0.261
M023,2026-04-06 02:30:00,0.177,0.177,0.177,0.177
M023,2026-04-13 02:30:00,0.166,0.166,0.166,0.166
M023,2026-04-20 02:30:00,0.192,0.192,0.192,0.192
M023,2026-04-06 03:30:00,0.19,0.19,0.19,0.19
M023,2026-04-13 03:30:00,0.182,0.182,0.182,0.182
M023,2026-04-27 05:30:00,0.688,0.688,0.688,0.688
M023,2026-04-20 06:30:00,0.759,0.759,0.759,0.759
M023,2026-04-13 08:30:00,0.591,0.591,0.591,0.591
M023,2026-04-20 10:30:00,0.505,0.505,0.505,0.505
M023,2026-04-13 13:30:00,0.43,0.43,0.43,0.43
M023,2026-04-13 15:30:00,0.645,0.645,0.645,0.645
M023,2026-04-06 19:30:00,1.369,1.369,1.369,1.369
M023,2026-04-20 20:30:00,1.112,1.112,1.112,1.112
M023,2026-04-13 21:30:00,0.688,0.688,0.688,0.688
M023,2026-04-27 23:30:00,0.297,0.297,0.297,0.297
M023,2026-04-14 00:30:00,0.251,0.251,0.251,0.251
M023,2026-04-28 00:30:00,0.193,0.193,0.193,0.193
M023,2026-04-21 11:30:00,0.548,0.548,0.548,0.548
M023,2026-04-07 19:30:00,1.357,1.357,1.357,1.357
M023,2026-04-08 03:30:00,0.236,0.236,0.236,0.236
M023,2026-04-22 03:30:00,0.226,0.226,0.226,0.226
M023,2026-04-29 03:30:00,0.226,0.226,0.226,0.226
M023,2026-04-08 04:30:00,0.367,0.367,0.367,0.367
M023,2026-04-15 06:30:00,0.924,0.924,0.924,0.924
M023,2026-04-22 07:30:00,0.794,0.794,0.794,0.794
M023,2026-04-08 10:30:00,0.488,0.488,0.488,0.488
M023,2026-04-29 12:30:00,0.551,0.551,0.551,0.551
M023,2026-04-01 17:30:00,1.099,1.099,1.099,1.099
M023,2026-04-22 20:30:00,1.134,1.134,1.134,1.134
M023,2026-04-15 22:30:00,0.491,0.491,0.491,0.491
M023,2026-04-02 00:30:00,0.262,0.262,0.262,0.262
M023,2026-04-02 02:30:00,0.201,0.201,0.201,0.201
M023,2026-04-16 06:30:00,0.594,0.594,0.594,0.594
M023,2026-04-23 07:30:00,0.761,0.761,0.761,0.761
M023,2026-04-23 08:30:00,0.548,0.548,0.548,0.548
M023,2026-04-16 09:30:00,0.418,0.418,0.418,0.418
M023,2026-04-16 11:30:00,0.627,0.627,0.627,0.627
M023,2026-04-30 11:30:00,0.634,0.634,0.634,0.634
M023,2026-04-02 13:30:00,0.529,0.529,0.529,0.529
M023,2026-04-30 13:30:00,0.438,0.438,0.438,0.438
M023,2026-04-23 14:30:00,0.457,0.457,0.457,0.457
M023,2026-04-09 15:30:00,0.578,0.578,0.578,0.578
M023,2026-04-09 18:30:00,1.276,1.276,1.276,1.276
M023,2026-04-16 18:30:00,1.216,1.216,1.216,1.216
M023,2026-04-30 18:30:00,1.305,1.305,1.305,1.305
M023,2026-04-23 20:30:00,1.164,1.164,1.164,1.164
M023,2026-04-09 22:30:00,0.452,0.452,0.452,0.452
M023,2026-04-30 22:30:00,0.443,0.443,0.443,0.443
M023,2026-04-24 00:30:00,0.21,0.21,0.21,0.21
M023,2026-04-17 10:30:00,0.442,0.442,0.442,0.442
M023,2026-04-24 11:30:00,0.567,0.567,0.567,0.567
M023,2026-04-03 16:30:00,0.658,0.658,0.658,0.658
M023,2026-04-03 19:30:00,1.484,1.484,1.484,1.484
M023,2026-04-24 20:30:00,1.105,1.105,1.105,1.105
M023,2026-04-17 21:30:00,0.754,0.754,0.754,0.754
M023,2026-04-03 22:30:00,0.474,0.474,0.474,0.474
M023,2026-04-17 23:30:00,0.259,0.259,0.259,0.259
M023,2026-04-11 02:30:00,0.185,0.185,0.185,0.185
M023,2026-04-11 04:30:00,0.379,0.379,0.379,0.379
M023,2026-04-11 12:30:00,0.602,0.602,0.602,0.602
M023,2026-04-11 14:30:00,0.38,0.38,0.38,0.38
M023,2026-04-25 17:30:00,1.007,1.007,1.007,1.007
M023,2026-04-04 18:30:00,1.402,1.402,1.402,1.402
M023,2026-04-18 19:30:00,1.201,1.201,1.201,1.201
M023,2026-04-18 20:30:00,1.238,1.238,1.238,1.238
M009,2026-04-19 03:30:00,0.29,0.29,0.29,0.29
M009,2026-04-26 03:30:00,0.247,0.247,0.247,0.247
M009,2026-04-19 04:30:00,0.45,0.45,0.45,0.45
M009,2026-04-12 06:30:00,1.133,1.133,1.133,1.133
M009,2026-04-12 09:30:00,0.508,0.508,0.508,0.508
M009,2026-04-19 09:30:00,0.536,0.536,0.536,0.536
M009,2026-04-26 09:30:00,0.567,0.567,0.567,0.567
M009,2026-04-05 12:30:00,0.786,0.786,0.786,0.786
M009,2026-04-19 12:30:00,0.509,0.509,0.509,0.509
M009,2026-04-26 14:30:00,0.536,0.536,0.536,0.536
M009,2026-04-19 15:30:00,0.71,0.71,0.71,0.71
M009,2026-04-05 16:30:00,0.846,0.846,0.846,0.846
M009,2026-04-12 16:30:00,0.837,0.837,0.837,0.837
M009,2026-04-26 16:30:00,0.913,0.913,0.913,0.913
M009,2026-04-05 17:30:00,0.982,0.982,0.982,0.982
M009,2026-04-26 17:30:00,1.205,1.205,1.205,1.205
M009,2026-04-05 18:30:00,1.673,1.673,1.673,1.673
M009,2026-04-12 19:30:00,1.729,1.729,1.729,1.729
M009,2026-04-12 21:30:00,1.049,1.049,1.049,1.049
M009,2026-04-19 23:30:00,0.275,0.275,0.275,0.275
M009,2026-04-20 04:30:00,0.353,0.353,0.353,0.353
M009,2026-04-13 09:30:00,0.445,0.445,0.445,0.445
M009,2026-04-20 09:30:00,0.457,0.457,0.457,0.457
M009,2026-04-27 10:30:00,0.444,0.444,0.444,0.444
M009,2026-04-06 12:30:00,0.628,0.628,0.628,0.628
M009,2026-04-27 12:30:00,0.466,0.466,0.466,0.466
M009,2026-04-27 13:30:00,0.402,0.402,0.402,0.402
M009,2026-04-20 17:30:00,0.989,0.989,0.989,0.989
M009,2026-04-27 19:30:00,1.345,1.345,1.345,1.345
M009,2026-04-06 21:30:00,0.809,0.809,0.809,0.809
M009,2026-04-13 22:30:00,0.385,0.385,0.385,0.385
M009,2026-04-27 23:30:00,0.445,0.445,0.445,0.445
M009,2026-04-14 10:30:00,0.398,0.398,0.398,0.398
M009,2026-04-28 12:30:00,0.592,0.592,0.592,0.592
M009,2026-04-28 16:30:00,0.864,0.864,0.864,0.864
M009,2026-04-07 17:30:00,1.336,1.336,1.336,1.336
M009,2026-03-31 23:30:00,0.355,0.355,0.355,0.355
M009,2026-04-15 00:30:00,0.206,0.206,0.206,0.206
M009,2026-04-15 05:30:00,0.599,0.599,0.599,0.599
M009,2026-04-01 07:30:00,0.724,0.724,0.724,0.724
M009,2026-04-01 08:30:00,0.56,0.56,0.56,0.56
M009,2026-04-01 10:30:00,0.491,0.491,0.491,0.491
M009,2026-04-29 10:30:00,0.453,0.453,0.453,0.453
M009,2026-04-01 11:30:00,0.546,0.546,0.546,0.546
M009,2026-04-08 12:30:00,0.452,0.452,0.452,0.452
M009,2026-04-22 12:30:00,0.659,0.659,0.659,0.659
M009,2026-04-08 13:30:00,0.495,0.495,0.495,0.495
M009,2026-04-01 16:30:00,0.748,0.748,0.748,0.748
M009,2026-04-29 18:30:00,1.332,1.332,1.332,1.332
M009,2026-04-15 19:30:00,1.158,1.158,1.158,1.158
M009,2026-04-08 21:30:00,0.6,0.6,0.6,0.6
M009,2026-04-08 22:30:00,0.497,0.497,0.497,0.497
M009,2026-04-15 22:30:00,0.434,0.434,0.434,0.434
M009,2026-04-29 23:30:00,0.279,0.279,0.279,0.279
M009,2026-04-02 01:30:00,0.195,0.195,0.195,0.195
M009,2026-04-23 01:30:00,0.171,0.171,0.171,0.171
M009,2026-04-02 03:30:00,0.209,0.209,0.209,0.209
M009,2026-04-02 04:30:00,0.427,0.427,0.427,0.427
M009,2026-04-23 04:30:00,0.342,0.342,0.342,0.342
M009,2026-04-30 04:30:00,0.409,0.409,0.409,0.409
M009,2026-04-16 06:30:00,0.874,0.874,0.874,0.874
M009,2026-04-30 06:30:00,0.9,0.9,0.9,0.9
M009,2026-04-16 10:30:00,0.468,0.468,0.468,0.468
M009,2026-04-09 12:30:00,0.631,0.631,0.631,0.631
M009,2026-04-30 16:30:00,0.645,0.645,0.645,0.645
M009,2026-04-16 17:30:00,0.992,0.992,0.992,0.992
M009,2026-04-30 18:30:00,1.149,1.149,1.149,1.149
M009,2026-04-16 21:30:00,1.019,1.019,1.019,1.019
M009,2026-04-02 22:30:00,0.45,0.45,0.45,0.45
M009,2026-04-10 00:30:00,0.214,0.214,0.214,0.214
M009,2026-04-17 05:30:00,0.592,0.592,0.592,0.592
M009,2026-04-03 16:30:00,0.778,0.778,0.778,0.778
M009,2026-04-03 19:30:00,1.31,1.31,1.31,1.31
M009,2026-04-24 19:30:00,1.334,1.334,1.334,1.334
M009,2026-04-10 20:30:00,1.422,1.422,1.422,1.422
M009,2026-04-24 23:30:00,0.331,0.331,0.331,0.331
M009,2026-04-04 03:30:00,0.293,0.293,0.293,0.293
M009,2026-04-25 04:30:00,0.379,0.379,0.379,0.379
M009,2026-04-18 08:30:00,0.635,0.635,0.635,0.635
M009,2026-04-18 10:30:00,0.458,0.458,0.458,0.458
M009,2026-04-25 10:30:00,0.512,0.512,0.512,0.512
M009,2026-04-25 11:30:00,0.681,0.681,0.681,0.681
M009,2026-04-18 15:30:00,0.709,0.709,0.709,0.709
M009,2026-04-18 20:30:00,1.333,1.333,1.333,1.333
M009,2026-04-18 21:30:00,0.929,0.929,0.929,0.929
M018,2026-04-11 23:30:00,0.285,0.285,0.285,0.285
M018,2026-04-26 01:30:00,0.196,0.196,0.196,0.196
M018,2026-04-19 02:30:00,0.178,0.178,0.178,0.178
M018,2026-04-05 03:30:00,0.219,0.219,0.219,0.219
M018,2026-04-05 05:30:00,0.735,0.735,0.735,0.735
M018,2026-04-26 05:30:00,0.684,0.684,0.684,0.684
M018,2026-04-26 08:30:00,0.655,0.655,0.655,0.655
M018,2026-04-12 09:30:00,0.467,0.467,0.467,0.467
M018,2026-04-19 13:30:00,0.521,0.521,0.521,0.521
M018,2026-04-26 13:30:00,0.502,0.502,0.502,0.502
M018,2026-04-05 17:30:00,0.996,0.996,0.996,0.996
M018,2026-04-12 17:30:00,0.913,0.913,0.913,0.913
M018,2026-04-12 18:30:00,1.469,1.469,1.469,1.469
M018,2026-04-26 18:30:00,1.334,1.334,1.334,1.334
M018,2026-04-19 19:30:00,1.265,1.265,1.265,1.265
M018,2026-04-26 20:30:00,1.089,1.089,1.089,1.089
M018,2026-04-26 23:30:00,0.31,0.31,0.31,0.31
M018,2026-04-06 01:30:00,0.118,0.118,0.118,0.118
M018,2026-04-13 02:30:00,0.173,0.173,0.173,0.173
M018,2026-04-27 06:30:00,0.92,0.92,0.92,0.92
M018,2026-04-13 12:30:00,0.552,0.552,0.552,0.552
M018,2026-04-06 14:30:00,0.462,0.462,0.462,0.462
M018,2026-04-13 15:30:00,0.601,0.601,0.601,0.601
M018,2026-04-13 16:30:00,0.643,0.643,0.643,0.643
M018,2026-04-06 17:30:00,1.01,1.01,1.01,1.01
M018,2026-04-13 18:30:00,1.009,1.009,1.009,1.009
M018,2026-04-20 21:30:00,0.84,0.84,0.84,0.84
M018,2026-04-28 00:30:00,0.256,0.256,0.256,0.256
M018,2026-04-21 03:30:00,0.21,0.21,0.21,0.21
M018,2026-04-07 04:30:00,0.305,0.305,0.305,0.305
M018,2026-04-28 14:30:00,0.328,0.328,0.328,0.328
M018,2026-04-07 17:30:00,0.738,0.738,0.738,0.738
M018,2026-04-14 23:30:00,0.297,0.297,0.297,0.297
M018,2026-04-01 00:30:00,0.242,0.242,0.242,0.242
M018,2026-04-01 01:30:00,0.167,0.167,0.167,0.167
M018,2026-04-08 01:30:00,0.19,0.19,0.19,0.19
M018,2026-04-15 01:30:00,0.178,0.178,0.178,0.178
M018,2026-04-08 04:30:00,0.331,0.331,0.331,0.331
M018,2026-04-08 07:30:00,0.639,0.639,0.639,0.639
M018,2026-04-22 08:30:00,0.48,0.48,0.48,0.48
M018,2026-04-22 11:30:00,0.585,0.585,0.585,0.585
M018,2026-04-29 12:30:00,0.472,0.472,0.472,0.472
M018,2026-04-15 14:30:00,0.459,0.459,0.459,0.459
M018,2026-04-22 14:30:00,0.419,0.419,0.419,0.419
M018,2026-04-29 15:30:00,0.571,0.571,0.571,0.571
M018,2026-04-15 18:30:00,0.867,0.867,0.867,0.867
M018,2026-04-29 21:30:00,0.57,0.57,0.57,0.57
M018,2026-04-15 22:30:00,0.563,0.563,0.563,0.563
M018,2026-04-23 00:30:00,0.161,0.161,0.161,0.161
M018,2026-04-16 03:30:00,0.2,0.2,0.2,0.2
M018,2026-04-23 03:30:00,0.163,0.163,0.163,0.163
M018,2026-04-16 05:30:00,0.603,0.603,0.603,0.603
M018,2026-04-30 05:30:00,0.577,0.577,0.577,0.577
M018,2026-04-09 06:30:00,0.887,0.887,0.887,0.887
M018,2026-04-02 07:30:00,0.52,0.52,0.52,0.52
M018,2026-04-30 07:30:00,0.614,0.614,0.614,0.614
M018,2026-04-16 10:30:00,0.381,0.381,0.381,0.381
M018,2026-04-30 13:30:00,0.394,0.394,0.394,0.394
M018,2026-04-02 18:30:00,1.409,1.409,1.409,1.409
M018,2026-04-30 19:30:00,1.42,1.42,1.42,1.42
M018,2026-04-02 23:30:00,0.239,0.239,0.239,0.239
M018,2026-04-09 23:30:00,0.216,0.216,0.216,0.216
M018,2026-04-10 00:30:00,0.224,0.224,0.224,0.224
M018,2026-04-03 01:30:00,0.154,0.154,0.154,0.154
M018,2026-04-03 02:30:00,0.182,0.182,0.182,0.182
M018,2026-04-10 02:30:00,0.149,0.149,0.149,0.149
M018,2026-04-24 02:30:00,0.173,0.173,0.173,0.173
M018,2026-04-17 04:30:00,0.304,0.304,0.304,0.304
M018,2026-04-24 04:30:00,0.275,0.275,0.275,0.275
M018,2026-04-24 05:30:00,0.475,0.475,0.475,0.475
M018,2026-04-03 09:30:00,0.42,0.42,0.42,0.42
M018,2026-04-03 10:30:00,0.435,0.435,0.435,0.435
M018,2026-04-03 12:30:00,0.632,0.632,0.632,0.632
M018,2026-04-03 15:30:00,0.508,0.508,0.508,0.508
M018,2026-04-17 16:30:00,0.581,0.581,0.581,0.581
M018,2026-04-03 17:30:00,0.782,0.782,0.782,0.782
M018,2026-04-17 17:30:00,0.999,0.999,0.999,0.999
M018,2026-04-03 18:30:00,1.193,1.193,1.193,1.193
M018,2026-04-17 20:30:00,1.041,1.041,1.041,1.041
M018,2026-04-10 21:30:00,0.826,0.826,0.826,0.826
M018,2026-04-24 22:30:00,0.436,0.436,0.436,0.436
M018,2026-04-04 01:30:00,0.173,0.173,0.173,0.173
M018,2026-04-18 08:30:00,0.507,0.507,0.507,0.507
M018,2026-04-04 10:30:00,0.516,0.516,0.516,0.516
M018,2026-04-04 13:30:00,0.5,0.5,0.5,0.5
M018,2026-04-11 13:30:00,0.445,0.445,0.445,0.445
M018,2026-04-25 14:30:00,0.517,0.517,0.517,0.517
M018,2026-04-04 16:30:00,0.85,0.85,0.85,0.85
M018,2026-04-04 17:30:00,1.142,1.142,1.142,1.142
M026,2026-04-19 03:30:00,0.243,0.243,0.243,0.243
M026,2026-04-05 09:30:00,0.586,0.586,0.586,0.586
M026,2026-04-19 10:30:00,0.481,0.481,0.481,0.481
M026,2026-04-05 11:30:00,0.597,0.597,0.597,0.597
M026,2026-04-26 13:30:00,0.549,0.549,0.549,0.549
M026,2026-04-12 15:30:00,0.509,0.509,0.509,0.509
M026,2026-04-26 19:30:00,1.678,1.678,1.678,1.678
M026,2026-04-20 00:30:00,0.178,0.178,0.178,0.178
M026,2026-04-06 03:30:00,0.237,0.237,0.237,0.237
M026,2026-04-20 05:30:00,0.517,0.517,0.517,0.517
M026,2026-04-27 06:30:00,0.69,0.69,0.69,0.69
M026,2026-04-20 08:30:00,0.597,0.597,0.597,0.597
M026,2026-04-27 10:30:00,0.348,0.348,0.348,0.348
M026,2026-04-06 11:30:00,0.397,0.397,0.397,0.397
M026,2026-04-06 12:30:00,0.456,0.456,0.456,0.456
M026,2026-04-20 14:30:00,0.505,0.505,0.505,0.505
M026,2026-04-06 16:30:00,0.675,0.675,0.675,0.675
M026,2026-04-06 17:30:00,0.698,0.698,0.698,0.698
M026,2026-04-13 20:30:00,1.237,1.237,1.237,1.237
M026,2026-04-13 23:30:00,0.327,0.327,0.327,0.327
M026,2026-04-21 00:30:00,0.223,0.223,0.223,0.223
M026,2026-04-28 00:30:00,0.274,0.274,0.274,0.274
M026,2026-04-21 02:30:00,0.201,0.201,0.201,0.201
M026,2026-04-14 03:30:00,0.193,0.193,0.193,0.193
M026,2026-04-07 09:30:00,0.354,0.354,0.354,0.354
M026,2026-04-07 11:30:00,0.573,0.573,0.573,0.573
M026,2026-04-28 11:30:00,0.601,0.601,0.601,0.601
M026,2026-04-21 20:30:00,1.218,1.218,1.218,1.218
M026,2026-04-21 21:30:00,0.715,0.715,0.715,0.715
M026,2026-04-28 21:30:00,0.9,0.9,0.9,0.9
M026,2026-04-29 00:30:00,0.23,0.23,0.23,0.23
M026,2026-04-29 01:30:00,0.216,0.216,0.216,0.216
M026,2026-04-08 05:30:00,0.494,0.494,0.494,0.494
M026,2026-04-29 07:30:00,0.712,0.712,0.712,0.712
M026,2026-04-29 08:30:00,0.488,0.488,0.488,0.488
M026,2026-04-08 09:30:00,0.454,0.454,0.454,0.454
M026,2026-04-01 10:30:00,0.43,0.43,0.43,0.43
M026,2026-04-15 13:30:00,0.445,0.445,0.445,0.445
M026,2026-04-01 20:30:00,1.183,1.183,1.183,1.183
M026,2026-04-22 21:30:00,0.854,0.854,0.854,0.854
M026,2026-04-22 23:30:00,0.26,0.26,0.26,0.26
M026,2026-04-09 01:30:00,0.168,0.168,0.168,0.168
M026,2026-04-30 02:30:00,0.19,0.19,0.19,0.19
M026,2026-04-09 06:30:00,0.784,0.784,0.784,0.784
M026,2026-04-30 06:30:00,0.714,0.714,0.714,0.714
M026,2026-04-02 07:30:00,0.609,0.609,0.609,0.609
M026,2026-04-23 07:30:00,0.823,0.823,0.823,0.823
M026,2026-04-02 09:30:00,0.42,0.42,0.42,0.42
M026,2026-04-02 11:30:00,0.518,0.518,0.518,0.518
M026,2026-04-30 11:30:00,0.53,0.53,0.53,0.53
M026,2026-04-02 12:30:00,0.516,0.516,0.516,0.516
M026,2026-04-02 15:30:00,0.565,0.565,0.565,0.565
M026,2026-04-23 15:30:00,0.492,0.492,0.492,0.492
M026,2026-04-02 16:30:00,0.836,0.836,0.836,0.836
M026,2026-04-30 16:30:00,0.716,0.716,0.716,0.716
M026,2026-04-09 17:30:00,0.964,0.964,0.964,0.964
M026,2026-04-09 19:30:00,1.173,1.173,1.173,1.173
M026,2026-04-30 19:30:00,1.583,1.583,1.583,1.583
M026,2026-04-02 20:30:00,1.338,1.338,1.338,1.338
M026,2026-04-02 21:30:00,0.853,0.853,0.853,0.853
M026,2026-04-23 21:30:00,0.851,0.851,0.851,0.851
M026,2026-04-09 22:30:00,0.482,0.482,0.482,0.482
M026,2026-04-16 22:30:00,0.469,0.469,0.469,0.469
M026,2026-04-10 03:30:00,0.222,0.222,0.222,0.222
M026,2026-04-10 04:30:00,0.35,0.35,0.35,0.35
M026,2026-04-17 04:30:00,0.387,0.387,0.387,0.387
M026,2026-04-10 05:30:00,0.579,0.579,0.579,0.579
M026,2026-04-03 06:30:00,0.86,0.86,0.86,0.86
M026,2026-04-17 06:30:00,0.901,0.901,0.901,0.901
M026,2026-04-24 08:30:00,0.44,0.44,0.44,0.44
M026,2026-04-24 10:30:00,0.431,0.431,0.431,0.431
M026,2026-04-03 14:30:00,0.424,0.424,0.424,0.424
M026,2026-04-03 15:30:00,0.55,0.55,0.55,0.55
M026,2026-04-10 20:30:00,1.082,1.082,1.082,1.082
M026,2026-04-04 00:30:00,0.25,0.25,0.25,0.25
M026,2026-04-11 05:30:00,0.725,0.725,0.725,0.725
M026,2026-04-25 10:30:00,0.442,0.442,0.442,0.442
M026,2026-04-25 11:30:00,0.669,0.669,0.669,0.669
M026,2026-04-04 16:30:00,0.862,0.862,0.862,0.862
M026,2026-04-11 16:30:00,0.787,0.787,0.787,0.787
M026,2026-04-11 18:30:00,1.633,1.633,1.633,1.633
M026,2026-04-04 22:30:00,0.541,0.541,0.541,0.541
M025,2026-04-12 01:30:00,0.227,0.227,0.227,0.227
M025,2026-04-26 01:30:00,0.191,0.191,0.191,0.191
M025,2026-04-12 04:30:00,0.407,0.407,0.407,0.407
M025,2026-04-05 06:30:00,0.885,0.885,0.885,0.885
M025,2026-04-19 07:30:00,0.699,0.699,0.699,0.699
M025,2026-04-12 10:30:00,0.51,0.51,0.51,0.51
M025,2026-04-19 11:30:00,0.603,0.603,0.603,0.603
M025,2026-04-26 15:30:00,0.619,0.619,0.619,0.619
M025,2026-04-26 16:30:00,0.847,0.847,0.847,0.847
M025,2026-04-12 18:30:00,1.665,1.665,1.665,1.665
M025,2026-04-19 22:30:00,0.499,0.499,0.499,0.499
M025,2026-04-13 00:30:00,0.204,0.204,0.204,0.204
M025,2026-04-13 01:30:00,0.201,0.201,0.201,0.201
M025,2026-04-27 01:30:00,0.138,0.138,0.138,0.138
M025,2026-04-20 03:30:00,0.237,0.237,0.237,0.237
